Неделя;2026-W17
Дата;Время;Имя;Возраст;Пол;SessionID;Событие;Экран;Тест;Этап;Действие;Длительность_мс;X;Y;Крен;Значение;Примечание
25.04.2026;13:27:42;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;57103;448.998;129.548;-2.952;10;"axes=X,Y,Z; y_tek=11.6284; y_sigma=129.5480; step=0.50s"
25.04.2026;13:27:42;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;57669;455.987;131.95;-3.396;11;"axes=X,Y,Z; y_tek=8.4017; y_sigma=131.9499; step=0.50s"
25.04.2026;13:27:43;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;58592;467.749;135.306;-5.538;12;"axes=X,Y,Z; y_tek=10.9285; y_sigma=135.3061; step=0.50s"
25.04.2026;13:27:44;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;59037;452.827;139.388;-2.67;13;"axes=X,Y,Z; y_tek=13.0745; y_sigma=139.3878; step=0.50s"
25.04.2026;13:27:44;ук;44;Мужской;20260425_132528_915939;stage_event;method_a;method_a_stage;3;crash;59886;462.523;140.667;-5.094;14;"axes=X,Y,Z; y_tek=3.9789; y_sigma=140.6668; step=0.50s"
25.04.2026;13:27:45;ук;44;Мужской;20260425_132528_915939;stage_report;method_a;method_a_stage;3;stage_end;60019;9.37;2.9569;0.0;14;"axes=X,Y,Z; gamma=1.7198; h=0.0214; tr=0.0000"
25.04.2026;13:27:45;ук;44;Мужской;20260425_132528_915939;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_132528_915939.json
25.04.2026;13:27:46;ук;44;Мужской;20260425_132528_915939;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;13:27:49;ук;44;Мужской;20260425_132528_915939;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;13:33:04;ук;44;Мужской;20260425_133304_128379;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=A
25.04.2026;13:33:04;ук;44;Мужской;20260425_133304_128379;menu_event;test_menu;;;open_menu;;;;;;next=B
25.04.2026;13:33:23;вп;33;Мужской;20260425_133323_816786;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;13:33:23;вп;33;Мужской;20260425_133323_816786;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;13:33:27;вп;33;Мужской;20260425_133323_816786;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;13:33:30;вп;33;Мужской;20260425_133323_816786;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;13:33:30;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;13:34:01;вп;33;Мужской;20260425_133323_816786;stage_report;method_a;method_a_stage;1;stage_end;30015;3.501;1.3139;1.1362;0;"axes=X; gamma=0.9736; h=0.0264; tr=1.1362"
25.04.2026;13:34:01;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;13:34:06;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;2;crash;4185;-450.696;8.141;0.0;1;"axes=X,Y; y_tek=9.1985; y_sigma=8.1407; step=0.50s"
25.04.2026;13:34:08;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;2;crash;6387;-455.019;12.278;0.0;2;"axes=X,Y; y_tek=6.6413; y_sigma=12.2778; step=0.50s"
25.04.2026;13:34:42;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;2;crash;39977;446.658;57.581;0.0;3;"axes=X,Y; y_tek=0.8266; y_sigma=57.5812; step=0.50s"
25.04.2026;13:34:42;вп;33;Мужской;20260425_133323_816786;stage_report;method_a;method_a_stage;2;stage_end;40063;4.958;1.9707;0.7607;3;"axes=X,Y; gamma=1.3895; h=0.0353; tr=0.7607"
25.04.2026;13:34:42;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;3;stage_start;;;;;;axes=X,Y,Z
25.04.2026;13:35:42;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;3;crash;58845;275.27;72.688;20.854;1;"axes=X,Y,Z; y_tek=8.5314; y_sigma=72.6884; step=0.50s"
25.04.2026;13:35:42;вп;33;Мужской;20260425_133323_816786;stage_event;method_a;method_a_stage;3;crash;58972;472.683;72.688;0.762;2;"axes=X,Y,Z; y_tek=8.5314; y_sigma=72.6884; step=0.50s"
25.04.2026;13:35:43;вп;33;Мужской;20260425_133323_816786;stage_report;method_a;method_a_stage;3;stage_end;60002;10.293;1.8593;29.1419;2;"axes=X,Y,Z; gamma=1.7321; h=0.0000; tr=29.1419"
25.04.2026;13:35:43;вп;33;Мужской;20260425_133323_816786;method_session;method_a;method_a;;completed;;;;;;json=method_a_results_20260425_133323_816786.json
25.04.2026;13:35:45;вп;33;Мужской;20260425_133323_816786;summary;test_menu;method_a;;session_finished;;;;;3;Методика А завершена, данные добавлены в participants.csv и user_progress.json
25.04.2026;13:35:47;вп;33;Мужской;20260425_133323_816786;menu_event;test_menu;test_a;;marked_completed;;;;;;Тест А завершён и сохранён.
25.04.2026;15:12:15;ке;44;Мужской;20260425_151215_849599;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;15:12:15;ке;44;Мужской;20260425_151215_849599;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;15:12:17;ке;44;Мужской;20260425_151215_849599;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;15:12:20;ке;44;Мужской;20260425_151215_849599;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;15:12:20;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;15:12:40;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;18265;455.919;1.767;0.0;1;"axes=X; h_cur=0.6316; h_sum=1.7669; normalized=1"
25.04.2026;15:12:41;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;18977;445.74;2.038;0.0;2;"axes=X; h_cur=0.5421; h_sum=2.0379; normalized=1"
25.04.2026;15:12:42;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;20031;464.528;2.671;0.0;3;"axes=X; h_cur=0.9171; h_sum=2.6711; normalized=1"
25.04.2026;15:12:43;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;21028;465.015;3.157;0.0;4;"axes=X; h_cur=0.9717; h_sum=3.1569; normalized=1"
25.04.2026;15:12:43;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;21657;463.555;3.203;0.0;5;"axes=X; h_cur=0.0920; h_sum=3.2029; normalized=1"
25.04.2026;15:12:44;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;22918;458.155;3.38;0.0;6;"axes=X; h_cur=0.3547; h_sum=3.3803; normalized=1"
25.04.2026;15:12:45;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;23329;456.462;3.443;0.0;7;"axes=X; h_cur=0.1257; h_sum=3.4431; normalized=1"
25.04.2026;15:12:45;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;23679;-474.85;3.448;0.0;8;"axes=X; h_cur=0.0103; h_sum=3.4483; normalized=1"
25.04.2026;15:12:46;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;24077;-458.561;3.752;0.0;9;"axes=X; h_cur=0.6070; h_sum=3.7518; normalized=1"
25.04.2026;15:12:46;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;1;crash;24450;512.034;3.752;0.0;10;"axes=X; h_cur=0.6070; h_sum=3.7518; normalized=1"
25.04.2026;15:12:51;ке;44;Мужской;20260425_151215_849599;stage_report;method_a;method_a_stage;1;stage_end;30013;3.1377;0.152;0.0;10;"axes=X; gamma=0.9120; h=0.0880; tr=0.0000"
25.04.2026;15:12:51;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;2;stage_start;;;;;;axes=X,Y
25.04.2026;15:13:09;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;2;crash;16482;462.504;3.832;0.0;1;"axes=X,Y; h_cur=0.8611; h_sum=3.8319; normalized=1"
25.04.2026;15:13:17;ке;44;Мужской;20260425_151215_849599;stage_event;method_a;method_a_stage;2;crash;24626;172.782;6.003;0.0;2;"axes=X,Y; h_cur=0.7156; h_sum=6.0030; normalized=1"
25.04.2026;15:13:20;ке;44;Мужской;20260425_151215_849599;method_session;method_a;method_a;;aborted;;;;;1;Пользователь закрыл методику или нажал ESC
25.04.2026;15:22:55;вае;33;Мужской;20260425_152255_096151;registration;start_page;;;submit;;;;;;Регистрационная форма принята. completed=-
25.04.2026;15:22:55;вае;33;Мужской;20260425_152255_096151;menu_event;test_menu;;;open_menu;;;;;;next=A
25.04.2026;15:22:56;вае;33;Мужской;20260425_152255_096151;menu_event;test_menu;test_a;;launch_requested;;;;;;Слежение за объектом
25.04.2026;15:22:58;вае;33;Мужской;20260425_152255_096151;method_session;method_a;method_a;;launch;;;;;;"Крен управляется колесом мыши; фон неба и объект-самолёт активированы"
25.04.2026;15:22:58;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;stage_start;;;;;;axes=X
25.04.2026;15:23:13;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;crash;14630;445.913;5.159;0.0;1;"axes=X; Scur=1.0000; Ssum=5.1588; lambda=1.1667"
25.04.2026;15:23:14;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;crash;15592;445.902;6.042;0.0;2;"axes=X; Scur=1.0000; Ssum=6.0421; lambda=1.0000"
25.04.2026;15:23:15;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;crash;16536;458.467;7.247;0.0;3;"axes=X; Scur=1.0000; Ssum=7.2466; lambda=1.0000"
25.04.2026;15:23:17;вае;33;Мужской;20260425_152255_096151;stage_event;method_a;method_a_stage;1;crash;17848;458.108;8.06;0.0;4;"axes=X; Scur=1.0000; Ssum=8.0603; lambda=1.0000"
